candidate_condition_mae,candidate_feature_group,candidate_model_level,condition_mae_gain,feature_group,heldout_fold,model_setting_id,parameter_set,reference_condition_mae,reference_feature_group,reference_model_level,run_scope,split_name,target
0.049191348979828096,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,0.0012654644929730938,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,64,0.05045681347280119,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.049191348979828096,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,-0.01964279343329841,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,64,0.029548555546529687,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.1386204669606765,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.05488510389925949,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,20,0.193505570859936,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.1386204669606765,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.001732419278231978,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,20,0.1403528862389085,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.056519291847524106,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.08392358914734396,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,24,0.14044288099486807,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.056519291847524106,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.1050653803147896,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,24,0.1615846721623137,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.04529557501394854,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.006821782266623694,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,28,0.052117357280572235,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.04529557501394854,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.020225710875180672,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,28,0.06552128588912921,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.12387914439021482,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.012976688923228688,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,32,0.1368558333134435,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.12387914439021482,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.0619619860654891,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,32,0.1858411304557039,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.15233744965203702,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.011418124164471632,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,36,0.1409193254875654,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.15233744965203702,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.05960089975111876,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,36,0.21193834940315578,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.08095220375475408,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.007688315249694988,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,40,0.07326388850505909,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.08095220375475408,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.021232021118463056,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,40,0.059720182636291023,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.11602586630454115,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.01949941195126148,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,44,0.09652645435327967,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.11602586630454115,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.026265087863995673,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,44,0.08976077844054547,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.02689861527326527,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.0320455611348833,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,48,0.058944176408148564,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.02689861527326527,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.00547007651950376,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,48,0.03236869179276903,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.05282132918740592,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.006267524377066437,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,52,0.059088853564472354,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.05282132918740592,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.009856878512881924,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,52,0.06267820770028784,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.06636972006721278,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.01669677697561217,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,56,0.08306649704282495,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.06636972006721278,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.005615311906183307,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,56,0.06075440816102948,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
